Open;High;Low;Close;Adj Close;Volume
318.000000;321.880005;308.329987;309.100006;309.100006;13404600
311.100006;317.529999;303.739990;315.440002;315.440002;10283000
314.760010;320.220001;305.299988;310.839996;310.839996;9710400
312.899994;328.559998;311.000000;327.500000;327.500000;13328300
328.000000;332.049988;316.609985;317.920013;317.920013;11023900
311.070007;312.980011;298.010010;303.470001;303.470001;13480800
300.000000;302.489990;290.630005;294.070007;294.070007;10924800
295.000000;303.549988;289.100006;294.399994;294.399994;12232200
300.399994;301.839996;278.299988;286.730011;286.730011;16853600
285.510010;292.500000;282.160004;290.059998;290.059998;9967100
287.140015;291.720001;281.000000;286.209991;286.209991;9099500
283.790009;285.089996;269.149994;270.600006;270.600006;12993800
254.630005;276.339996;250.000000;266.980011;266.980011;16693800
274.420013;275.339996;261.510010;262.130005;262.130005;11023000
260.109985;265.500000;256.839996;258.820007;258.820007;5245100
260.549988;266.250000;253.800003;261.429993;261.429993;12498600
259.239990;269.079987;256.140015;266.630005;266.630005;11149500
271.980011;284.000000;263.339996;282.649994;282.649994;14801300
282.320007;290.489990;275.500000;288.750000;288.750000;15431500
288.000000;290.809998;283.059998;286.130005;286.130005;11860100
293.190002;298.720001;284.579987;290.299988;290.299988;14117400
288.130005;295.739990;274.720001;275.329987;275.329987;12800600
268.329987;283.220001;267.140015;282.880005;282.880005;13074300
282.480011;284.209991;263.380005;265.140015;265.140015;12466700
264.190002;271.179993;260.609985;269.700012;269.700012;9605600
274.079987;274.500000;262.760010;265.320007;265.320007;9843200
267.660004;281.769989;266.480011;274.880005;274.880005;11456700
277.640015;279.320007;271.850006;276.019989;276.019989;8379300
271.809998;277.670013;265.000000;266.839996;266.839996;9915300
266.510010;272.980011;261.079987;262.799988;262.799988;9634700
263.299988;275.750000;263.290009;270.940002;270.940002;10350100
269.959991;280.869995;263.769989;266.769989;266.769989;13788400
264.640015;269.899994;251.880005;260.579987;260.579987;16792900
263.829987;264.500000;241.289993;246.389999;246.389999;21397600
242.000000;250.649994;233.679993;233.880005;233.880005;9547600
233.919998;254.500000;231.229996;253.669998;253.669998;14402700
250.110001;255.589996;240.100006;255.570007;255.570007;12235200
257.940002;261.910004;249.800003;256.079987;256.079987;10992800
260.160004;270.100006;260.000000;267.660004;267.660004;13508900
259.279999;269.750000;256.579987;267.660004;267.660004;11679500
270.200012;275.790009;264.429993;271.200012;271.200012;14969600
281.880005;297.799988;278.540009;297.570007;297.570007;19330100
302.100006;316.799988;301.649994;315.339996;315.339996;18620100
319.980011;320.589996;308.010010;320.269989;320.269989;15359200
317.709991;323.350006;313.500000;319.959991;319.959991;13343200
314.570007;325.369995;312.500000;324.660004;324.660004;13472500
330.959991;341.089996;328.519989;337.589996;337.589996;19500400
334.239990;335.480011;329.130005;332.940002;332.940002;10499600
349.600006;357.220001;347.000000;354.640015;354.640015;21181200
354.000000;358.850006;348.109985;351.390015;351.390015;15385500
349.500000;355.790009;346.410004;353.190002;353.190002;18871200
351.970001;353.000000;336.730011;339.100006;339.100006;26621000
334.890015;336.880005;321.029999;325.160004;325.160004;17941400
328.250000;331.750000;318.600006;321.989990;321.989990;13480100
320.600006;331.799988;319.000000;326.670013;326.670013;11131600
328.720001;340.000000;328.510010;338.049988;338.049988;11152900
334.700012;336.299988;328.880005;335.660004;335.660004;8652100
335.869995;338.220001;328.149994;328.899994;328.899994;7655200
332.750000;341.779999;330.799988;340.660004;340.660004;9234500
339.679993;345.989990;338.089996;339.500000;339.500000;8535500
337.179993;346.839996;336.500000;339.850006;339.850006;9827800
342.600006;352.000000;341.299988;351.339996;351.339996;9051400
353.200012;360.000000;352.899994;355.809998;355.809998;9046600
357.000000;357.040009;347.190002;352.190002;352.190002;6717700
347.899994;348.750000;339.019989;344.709991;344.709991;7864500
338.000000;348.000000;338.000000;347.570007;347.570007;7561400
350.000000;352.869995;344.809998;345.730011;345.730011;5454900
348.089996;360.000000;346.519989;359.970001;359.970001;10429400
357.299988;359.600006;350.279999;351.769989;351.769989;10559100
351.750000;360.450012;348.329987;359.070007;359.070007;9295300
358.470001;364.399994;355.500000;356.869995;356.869995;9230000
355.799988;365.000000;355.320007;361.920013;361.920013;7396600
364.850006;366.709991;356.700012;359.910004;359.910004;8110700
360.029999;362.850006;353.880005;356.970001;356.970001;6227900
360.339996;366.130005;360.049988;363.019989;363.019989;7088200
367.010010;371.489990;363.790009;363.910004;363.910004;7569300
362.980011;365.700012;359.329987;364.970001;364.970001;4944600
363.500000;368.029999;359.799988;362.869995;362.869995;5629900
362.470001;366.390015;357.709991;358.100006;358.100006;6186800
362.260010;362.869995;354.690002;357.320007;357.320007;5526500
359.720001;362.250000;348.040009;351.040009;351.040009;7487000
351.459991;356.170013;348.250000;354.299988;354.299988;5937800
353.600006;359.880005;351.700012;359.609985;359.609985;6211900
360.160004;362.859985;350.500000;352.600006;352.600006;6151300
345.750000;349.920013;342.470001;349.600006;349.600006;6898800
352.000000;358.980011;350.029999;358.859985;358.859985;5387300
359.369995;360.130005;353.799988;356.269989;356.269989;5164600
355.809998;362.480011;352.769989;361.209991;361.209991;6444100
360.500000;363.839996;358.100006;358.820007;358.820007;5271400
361.019989;364.000000;358.890015;361.459991;361.459991;8444500
362.470001;370.970001;361.859985;363.440002;363.440002;7194700
366.399994;366.959991;356.799988;358.779999;358.779999;7541400
358.910004;375.899994;357.010010;375.220001;375.220001;10917200
374.000000;379.000000;370.609985;377.869995;377.869995;8544000
375.950012;376.429993;360.040009;361.010010;361.010010;8661300
359.000000;367.040009;357.440002;366.230011;366.230011;8473800
367.869995;368.380005;358.019989;359.970001;359.970001;7666500
361.000000;362.470001;350.369995;353.369995;353.369995;7852400
354.489990;355.940002;349.200012;354.609985;354.609985;4361000
357.160004;358.250000;353.709991;356.559998;356.559998;4705600
359.000000;368.329987;358.510010;366.959991;366.959991;7036100
366.250000;368.420013;362.220001;367.720001;367.720001;5158700
369.260010;373.410004;366.190002;369.750000;369.750000;5368900
370.070007;372.049988;362.399994;367.880005;367.880005;4627300
369.000000;369.799988;364.660004;365.489990;365.489990;3905500
365.109985;365.940002;359.929993;361.410004;361.410004;4653800
360.540009;366.739990;359.000000;364.709991;364.709991;5439200
365.790009;368.850006;362.250000;363.920013;363.920013;4545600
365.000000;370.119995;360.809998;367.649994;367.649994;6526900
360.690002;361.750000;349.359985;351.140015;351.140015;15646200
350.709991;352.209991;342.269989;348.869995;348.869995;8842300
355.000000;364.480011;352.720001;359.459991;359.459991;18740200
365.049988;368.760010;350.600006;354.739990;354.739990;18054100
355.000000;360.410004;351.640015;360.350006;360.350006;8353200
359.700012;377.690002;359.000000;377.339996;377.339996;11980500
375.450012;384.799988;374.709991;381.890015;381.890015;10089800
381.070007;381.899994;373.269989;374.230011;374.230011;6541900
374.489990;374.760010;365.700012;368.329987;368.329987;6255500
368.350006;375.140015;366.239990;374.850006;374.850006;5621900
373.679993;374.579987;369.119995;371.829987;371.829987;3821700
369.559998;374.500000;368.350006;370.540009;370.540009;3870100
374.000000;385.989990;373.170013;378.809998;378.809998;9257300
378.000000;383.500000;374.510010;379.059998;379.059998;5398200
381.529999;385.029999;378.269989;385.029999;385.029999;5130300
377.690002;381.350006;376.000000;378.670013;378.670013;5793100
